id,Image,Category
2770,scab-228.JPG,scab
2946,scab-404.JPG,scab
24,healthy-23.JPG,healthy
2207,black-rot-286.JPG,black-rot
1094,healthy-1093.JPG,healthy
2690,scab-148.JPG,scab
1787,rust-141.JPG,rust
2133,black-rot-212.JPG,black-rot
2738,scab-196.JPG,scab
2496,black-rot-575.JPG,black-rot
33,healthy-32.JPG,healthy
1703,rust-57.JPG,rust
2873,scab-331.JPG,scab
174,healthy-173.JPG,healthy
1711,rust-65.JPG,rust
1872,rust-226.JPG,rust
1759,rust-113.JPG,rust
1716,rust-70.JPG,rust
2810,scab-268.JPG,scab
2098,black-rot-177.JPG,black-rot
2753,scab-211.JPG,scab
2342,black-rot-421.JPG,black-rot
2591,scab-49.JPG,scab
2930,scab-388.JPG,scab
1917,rust-271.JPG,rust
773,healthy-772.JPG,healthy
1793,rust-147.JPG,rust
3159,scab-617.JPG,scab
2553,scab-11.JPG,scab
2139,black-rot-218.JPG,black-rot
1792,rust-146.JPG,rust
60,healthy-59.JPG,healthy
2351,black-rot-430.JPG,black-rot
1686,rust-40.JPG,rust
491,healthy-490.JPG,healthy
399,healthy-398.JPG,healthy
2571,scab-29.JPG,scab
1689,rust-43.JPG,rust
2542,scab-0.JPG,scab
3027,scab-485.JPG,scab
1117,healthy-1116.JPG,healthy
1732,rust-86.JPG,rust
680,healthy-679.JPG,healthy
1702,rust-56.JPG,rust
2472,black-rot-551.JPG,black-rot
2285,black-rot-364.JPG,black-rot
1976,black-rot-55.JPG,black-rot
1943,black-rot-22.JPG,black-rot
3091,scab-549.JPG,scab
2178,black-rot-257.JPG,black-rot
1816,rust-170.JPG,rust
765,healthy-764.JPG,healthy
2598,scab-56.JPG,scab
1763,rust-117.JPG,rust
1697,rust-51.JPG,rust
1808,rust-162.JPG,rust
2156,black-rot-235.JPG,black-rot
1674,rust-28.JPG,rust
553,healthy-552.JPG,healthy
240,healthy-239.JPG,healthy
2124,black-rot-203.JPG,black-rot
2760,scab-218.JPG,scab
2716,scab-174.JPG,scab
1790,rust-144.JPG,rust
1754,rust-108.JPG,rust
2168,black-rot-247.JPG,black-rot
1626,healthy-1625.JPG,healthy
2557,scab-15.JPG,scab
1839,rust-193.JPG,rust
1182,healthy-1181.JPG,healthy
2253,black-rot-332.JPG,black-rot
1415,healthy-1414.JPG,healthy
2575,scab-33.JPG,scab
1241,healthy-1240.JPG,healthy
856,healthy-855.JPG,healthy
352,healthy-351.JPG,healthy
1768,rust-122.JPG,rust
2490,black-rot-569.JPG,black-rot
2374,black-rot-453.JPG,black-rot
2095,black-rot-174.JPG,black-rot
2420,black-rot-499.JPG,black-rot
484,healthy-483.JPG,healthy
620,healthy-619.JPG,healthy
940,healthy-939.JPG,healthy
2056,black-rot-135.JPG,black-rot
2617,scab-75.JPG,scab
2610,scab-68.JPG,scab
1764,rust-118.JPG,rust
1880,rust-234.JPG,rust
1121,healthy-1120.JPG,healthy
2581,scab-39.JPG,scab
2660,scab-118.JPG,scab
1798,rust-152.JPG,rust
1693,rust-47.JPG,rust
3167,scab-625.JPG,scab
3073,scab-531.JPG,scab
2623,scab-81.JPG,scab
2911,scab-369.JPG,scab
1580,healthy-1579.JPG,healthy
2941,scab-399.JPG,scab
1289,healthy-1288.JPG,healthy
2298,black-rot-377.JPG,black-rot
1103,healthy-1102.JPG,healthy
1426,healthy-1425.JPG,healthy
1317,healthy-1316.JPG,healthy
1861,rust-215.JPG,rust
1854,rust-208.JPG,rust
2773,scab-231.JPG,scab
1899,rust-253.JPG,rust
1814,rust-168.JPG,rust
2444,black-rot-523.JPG,black-rot
2132,black-rot-211.JPG,black-rot
1190,healthy-1189.JPG,healthy
530,healthy-529.JPG,healthy
2682,scab-140.JPG,scab
238,healthy-237.JPG,healthy
2035,black-rot-114.JPG,black-rot
3060,scab-518.JPG,scab
1788,rust-142.JPG,rust
1721,rust-75.JPG,rust
1867,rust-221.JPG,rust
1895,rust-249.JPG,rust
1275,healthy-1274.JPG,healthy
2754,scab-212.JPG,scab
1725,rust-79.JPG,rust
1803,rust-157.JPG,rust
2474,black-rot-553.JPG,black-rot
71,healthy-70.JPG,healthy
1885,rust-239.JPG,rust
2677,scab-135.JPG,scab
2883,scab-341.JPG,scab
1800,rust-154.JPG,rust
1030,healthy-1029.JPG,healthy
2817,scab-275.JPG,scab
1919,rust-273.JPG,rust
2177,black-rot-256.JPG,black-rot
2852,scab-310.JPG,scab
1770,rust-124.JPG,rust
2959,scab-417.JPG,scab
2454,black-rot-533.JPG,black-rot
1843,rust-197.JPG,rust
2317,black-rot-396.JPG,black-rot
2011,black-rot-90.JPG,black-rot
1730,rust-84.JPG,rust
810,healthy-809.JPG,healthy
2537,black-rot-616.JPG,black-rot
1454,healthy-1453.JPG,healthy
1786,rust-140.JPG,rust
2552,scab-10.JPG,scab
1963,black-rot-42.JPG,black-rot
2899,scab-357.JPG,scab
725,healthy-724.JPG,healthy
3105,scab-563.JPG,scab
2988,scab-446.JPG,scab
1927,black-rot-6.JPG,black-rot
1921,black-rot-0.JPG,black-rot
2750,scab-208.JPG,scab
3087,scab-545.JPG,scab
2261,black-rot-340.JPG,black-rot
2697,scab-155.JPG,scab
1662,rust-16.JPG,rust
2618,scab-76.JPG,scab
1731,rust-85.JPG,rust
1827,rust-181.JPG,rust
1740,rust-94.JPG,rust
1363,healthy-1362.JPG,healthy
245,healthy-244.JPG,healthy
1746,rust-100.JPG,rust
1802,rust-156.JPG,rust
2493,black-rot-572.JPG,black-rot
1760,rust-114.JPG,rust
2651,scab-109.JPG,scab
621,healthy-620.JPG,healthy
1838,rust-192.JPG,rust
1910,rust-264.JPG,rust
2572,scab-30.JPG,scab
480,healthy-479.JPG,healthy
2965,scab-423.JPG,scab
2673,scab-131.JPG,scab
2296,black-rot-375.JPG,black-rot
2906,scab-364.JPG,scab
2516,black-rot-595.JPG,black-rot
817,healthy-816.JPG,healthy
3110,scab-568.JPG,scab
2799,scab-257.JPG,scab
1217,healthy-1216.JPG,healthy
1996,black-rot-75.JPG,black-rot
2806,scab-264.JPG,scab
2066,black-rot-145.JPG,black-rot
2755,scab-213.JPG,scab
2007,black-rot-86.JPG,black-rot
2069,black-rot-148.JPG,black-rot
1905,rust-259.JPG,rust
2330,black-rot-409.JPG,black-rot
2468,black-rot-547.JPG,black-rot
1612,healthy-1611.JPG,healthy
2718,scab-176.JPG,scab
535,healthy-534.JPG,healthy
2630,scab-88.JPG,scab
2165,black-rot-244.JPG,black-rot
1677,rust-31.JPG,rust
124,healthy-123.JPG,healthy
301,healthy-300.JPG,healthy
2220,black-rot-299.JPG,black-rot
375,healthy-374.JPG,healthy
843,healthy-842.JPG,healthy
1044,healthy-1043.JPG,healthy
2999,scab-457.JPG,scab
1707,rust-61.JPG,rust
2257,black-rot-336.JPG,black-rot
3023,scab-481.JPG,scab
814,healthy-813.JPG,healthy
1507,healthy-1506.JPG,healthy
423,healthy-422.JPG,healthy
1351,healthy-1350.JPG,healthy
1325,healthy-1324.JPG,healthy
2198,black-rot-277.JPG,black-rot
728,healthy-727.JPG,healthy
1714,rust-68.JPG,rust
3004,scab-462.JPG,scab
3075,scab-533.JPG,scab
708,healthy-707.JPG,healthy
3129,scab-587.JPG,scab
1824,rust-178.JPG,rust
889,healthy-888.JPG,healthy
2389,black-rot-468.JPG,black-rot
1533,healthy-1532.JPG,healthy
2646,scab-104.JPG,scab
2621,scab-79.JPG,scab
1441,healthy-1440.JPG,healthy
2086,black-rot-165.JPG,black-rot
1918,rust-272.JPG,rust
586,healthy-585.JPG,healthy
1724,rust-78.JPG,rust
1773,rust-127.JPG,rust
1691,rust-45.JPG,rust
2129,black-rot-208.JPG,black-rot
1690,rust-44.JPG,rust
260,healthy-259.JPG,healthy
1911,rust-265.JPG,rust
2030,black-rot-109.JPG,black-rot
2079,black-rot-158.JPG,black-rot
2962,scab-420.JPG,scab
2169,black-rot-248.JPG,black-rot
421,healthy-420.JPG,healthy
2383,black-rot-462.JPG,black-rot
1139,healthy-1138.JPG,healthy
1672,rust-26.JPG,rust
353,healthy-352.JPG,healthy
1868,rust-222.JPG,rust
2522,black-rot-601.JPG,black-rot
2652,scab-110.JPG,scab
1688,rust-42.JPG,rust
1873,rust-227.JPG,rust
2276,black-rot-355.JPG,black-rot
1681,rust-35.JPG,rust
1213,healthy-1212.JPG,healthy
2720,scab-178.JPG,scab
1859,rust-213.JPG,rust
1796,rust-150.JPG,rust
1037,healthy-1036.JPG,healthy
1658,rust-12.JPG,rust
3058,scab-516.JPG,scab
2945,scab-403.JPG,scab
2159,black-rot-238.JPG,black-rot
1893,rust-247.JPG,rust
1757,rust-111.JPG,rust
742,healthy-741.JPG,healthy
2439,black-rot-518.JPG,black-rot
3134,scab-592.JPG,scab
1090,healthy-1089.JPG,healthy
367,healthy-366.JPG,healthy
2500,black-rot-579.JPG,black-rot
1897,rust-251.JPG,rust
2406,black-rot-485.JPG,black-rot
1337,healthy-1336.JPG,healthy
2000,black-rot-79.JPG,black-rot
2517,black-rot-596.JPG,black-rot
1856,rust-210.JPG,rust
2141,black-rot-220.JPG,black-rot
2130,black-rot-209.JPG,black-rot
1766,rust-120.JPG,rust
1813,rust-167.JPG,rust
2242,black-rot-321.JPG,black-rot
2210,black-rot-289.JPG,black-rot
1345,healthy-1344.JPG,healthy
3029,scab-487.JPG,scab
1829,rust-183.JPG,rust
862,healthy-861.JPG,healthy
1858,rust-212.JPG,rust
2401,black-rot-480.JPG,black-rot
2605,scab-63.JPG,scab
495,healthy-494.JPG,healthy
2880,scab-338.JPG,scab
2529,black-rot-608.JPG,black-rot
1007,healthy-1006.JPG,healthy
372,healthy-371.JPG,healthy
1904,rust-258.JPG,rust
846,healthy-845.JPG,healthy
2408,black-rot-487.JPG,black-rot
125,healthy-124.JPG,healthy
2120,black-rot-199.JPG,black-rot
2978,scab-436.JPG,scab
2615,scab-73.JPG,scab
2074,black-rot-153.JPG,black-rot
2076,black-rot-155.JPG,black-rot
2450,black-rot-529.JPG,black-rot
1592,healthy-1591.JPG,healthy
1998,black-rot-77.JPG,black-rot
31,healthy-30.JPG,healthy
804,healthy-803.JPG,healthy
494,healthy-493.JPG,healthy
3137,scab-595.JPG,scab
2632,scab-90.JPG,scab
2155,black-rot-234.JPG,black-rot
562,healthy-561.JPG,healthy
2221,black-rot-300.JPG,black-rot
2458,black-rot-537.JPG,black-rot
1605,healthy-1604.JPG,healthy
2807,scab-265.JPG,scab
2719,scab-177.JPG,scab
1913,rust-267.JPG,rust
2847,scab-305.JPG,scab
2364,black-rot-443.JPG,black-rot
1400,healthy-1399.JPG,healthy
1143,healthy-1142.JPG,healthy
1783,rust-137.JPG,rust
1906,rust-260.JPG,rust
1936,black-rot-15.JPG,black-rot
1997,black-rot-76.JPG,black-rot
1818,rust-172.JPG,rust
1981,black-rot-60.JPG,black-rot
2347,black-rot-426.JPG,black-rot
2858,scab-316.JPG,scab
2826,scab-284.JPG,scab
1801,rust-155.JPG,rust
