id,Image,Category
2109,black-rot-188.JPG,black-rot
2505,black-rot-584.JPG,black-rot
1897,rust-251.JPG,rust
484,healthy-483.JPG,healthy
2726,scab-184.JPG,scab
856,healthy-855.JPG,healthy
2180,black-rot-259.JPG,black-rot
2673,scab-131.JPG,scab
880,healthy-879.JPG,healthy
77,healthy-76.JPG,healthy
2499,black-rot-578.JPG,black-rot
1999,black-rot-78.JPG,black-rot
1182,healthy-1181.JPG,healthy
1190,healthy-1189.JPG,healthy
2285,black-rot-364.JPG,black-rot
1722,rust-76.JPG,rust
1857,rust-211.JPG,rust
2619,scab-77.JPG,scab
1662,rust-16.JPG,rust
2817,scab-275.JPG,scab
1561,healthy-1560.JPG,healthy
1810,rust-164.JPG,rust
2602,scab-60.JPG,scab
2700,scab-158.JPG,scab
1761,rust-115.JPG,rust
2551,scab-9.JPG,scab
1533,healthy-1532.JPG,healthy
1732,rust-86.JPG,rust
1839,rust-193.JPG,rust
2581,scab-39.JPG,scab
2374,black-rot-453.JPG,black-rot
1498,healthy-1497.JPG,healthy
1950,black-rot-29.JPG,black-rot
1668,rust-22.JPG,rust
68,healthy-67.JPG,healthy
1848,rust-202.JPG,rust
1351,healthy-1350.JPG,healthy
2625,scab-83.JPG,scab
1115,healthy-1114.JPG,healthy
2877,scab-335.JPG,scab
71,healthy-70.JPG,healthy
2690,scab-148.JPG,scab
1679,rust-33.JPG,rust
2841,scab-299.JPG,scab
2386,black-rot-465.JPG,black-rot
375,healthy-374.JPG,healthy
2946,scab-404.JPG,scab
2472,black-rot-551.JPG,black-rot
1337,healthy-1336.JPG,healthy
1755,rust-109.JPG,rust
353,healthy-352.JPG,healthy
1861,rust-215.JPG,rust
2992,scab-450.JPG,scab
843,healthy-842.JPG,healthy
2823,scab-281.JPG,scab
2468,black-rot-547.JPG,black-rot
1689,rust-43.JPG,rust
2355,black-rot-434.JPG,black-rot
2289,black-rot-368.JPG,black-rot
2831,scab-289.JPG,scab
2113,black-rot-192.JPG,black-rot
2620,scab-78.JPG,scab
1784,rust-138.JPG,rust
1710,rust-64.JPG,rust
2656,scab-114.JPG,scab
2004,black-rot-83.JPG,black-rot
1739,rust-93.JPG,rust
238,healthy-237.JPG,healthy
2591,scab-49.JPG,scab
2760,scab-218.JPG,scab
2490,black-rot-569.JPG,black-rot
2007,black-rot-86.JPG,black-rot
2156,black-rot-235.JPG,black-rot
2178,black-rot-257.JPG,black-rot
1862,rust-216.JPG,rust
725,healthy-724.JPG,healthy
1873,rust-227.JPG,rust
1893,rust-247.JPG,rust
2009,black-rot-88.JPG,black-rot
1913,rust-267.JPG,rust
2730,scab-188.JPG,scab
260,healthy-259.JPG,healthy
1740,rust-94.JPG,rust
2786,scab-244.JPG,scab
1914,rust-268.JPG,rust
1677,rust-31.JPG,rust
1799,rust-153.JPG,rust
2192,black-rot-271.JPG,black-rot
480,healthy-479.JPG,healthy
1792,rust-146.JPG,rust
185,healthy-184.JPG,healthy
2058,black-rot-137.JPG,black-rot
2959,scab-417.JPG,scab
3045,scab-503.JPG,scab
3105,scab-563.JPG,scab
2226,black-rot-305.JPG,black-rot
1944,black-rot-23.JPG,black-rot
487,healthy-486.JPG,healthy
1901,rust-255.JPG,rust
3081,scab-539.JPG,scab
2256,black-rot-335.JPG,black-rot
2199,black-rot-278.JPG,black-rot
1672,rust-26.JPG,rust
1032,healthy-1031.JPG,healthy
3004,scab-462.JPG,scab
1097,healthy-1096.JPG,healthy
3015,scab-473.JPG,scab
248,healthy-247.JPG,healthy
1813,rust-167.JPG,rust
2130,black-rot-209.JPG,black-rot
3023,scab-481.JPG,scab
2930,scab-388.JPG,scab
2320,black-rot-399.JPG,black-rot
2962,scab-420.JPG,scab
1757,rust-111.JPG,rust
1684,rust-38.JPG,rust
1923,black-rot-2.JPG,black-rot
2232,black-rot-311.JPG,black-rot
2202,black-rot-281.JPG,black-rot
399,healthy-398.JPG,healthy
1426,healthy-1425.JPG,healthy
965,healthy-964.JPG,healthy
317,healthy-316.JPG,healthy
1664,rust-18.JPG,rust
204,healthy-203.JPG,healthy
2132,black-rot-211.JPG,black-rot
1289,healthy-1288.JPG,healthy
2789,scab-247.JPG,scab
