id,Image,Category
2789,rust-128.JPG,rust
3816,rust-1155.JPG,rust
245,northern-leaf-blight-244.JPG,northern-leaf-blight
2173,grey-leaf-spot-25.JPG,grey-leaf-spot
938,northern-leaf-blight-937.JPG,northern-leaf-blight
3644,rust-983.JPG,rust
1599,healthy-613.JPG,healthy
2241,grey-leaf-spot-93.JPG,grey-leaf-spot
3843,rust-1182.JPG,rust
2150,grey-leaf-spot-2.JPG,grey-leaf-spot
356,northern-leaf-blight-355.JPG,northern-leaf-blight
1834,healthy-848.jpg,healthy
3084,rust-423.JPG,rust
71,northern-leaf-blight-70.JPG,northern-leaf-blight
1471,healthy-485.jpg,healthy
1754,healthy-768.jpg,healthy
1539,healthy-553.jpg,healthy
1062,healthy-76.jpg,healthy
3274,rust-613.JPG,rust
2648,grey-leaf-spot-500.JPG,grey-leaf-spot
3518,rust-857.JPG,rust
2426,grey-leaf-spot-278.JPG,grey-leaf-spot
2938,rust-277.JPG,rust
3506,rust-845.JPG,rust
1818,healthy-832.jpg,healthy
89,northern-leaf-blight-88.JPG,northern-leaf-blight
1309,healthy-323.jpg,healthy
3005,rust-344.JPG,rust
2817,rust-156.JPG,rust
2382,grey-leaf-spot-234.JPG,grey-leaf-spot
1654,healthy-668.jpg,healthy
814,northern-leaf-blight-813.JPG,northern-leaf-blight
2450,grey-leaf-spot-302.JPG,grey-leaf-spot
1659,healthy-673.jpg,healthy
478,northern-leaf-blight-477.JPG,northern-leaf-blight
214,northern-leaf-blight-213.JPG,northern-leaf-blight
3463,rust-802.JPG,rust
2063,healthy-1077.jpg,healthy
3459,rust-798.JPG,rust
3670,rust-1009.JPG,rust
588,northern-leaf-blight-587.JPG,northern-leaf-blight
1338,healthy-352.jpg,healthy
30,northern-leaf-blight-29.JPG,northern-leaf-blight
1229,healthy-243.jpg,healthy
2577,grey-leaf-spot-429.JPG,grey-leaf-spot
2167,grey-leaf-spot-19.JPG,grey-leaf-spot
2356,grey-leaf-spot-208.JPG,grey-leaf-spot
2359,grey-leaf-spot-211.JPG,grey-leaf-spot
3227,rust-566.JPG,rust
2413,grey-leaf-spot-265.JPG,grey-leaf-spot
1901,healthy-915.jpg,healthy
981,northern-leaf-blight-980.JPG,northern-leaf-blight
3582,rust-921.JPG,rust
1444,healthy-458.jpg,healthy
2102,healthy-1116.jpg,healthy
2085,healthy-1099.JPG,healthy
2225,grey-leaf-spot-77.JPG,grey-leaf-spot
1357,healthy-371.jpg,healthy
763,northern-leaf-blight-762.JPG,northern-leaf-blight
175,northern-leaf-blight-174.JPG,northern-leaf-blight
2379,grey-leaf-spot-231.jpg,grey-leaf-spot
3634,rust-973.JPG,rust
3773,rust-1112.JPG,rust
1509,healthy-523.jpg,healthy
2033,healthy-1047.jpg,healthy
2429,grey-leaf-spot-281.jpg,grey-leaf-spot
536,northern-leaf-blight-535.JPG,northern-leaf-blight
3710,rust-1049.JPG,rust
1204,healthy-218.jpg,healthy
322,northern-leaf-blight-321.JPG,northern-leaf-blight
2366,grey-leaf-spot-218.JPG,grey-leaf-spot
293,northern-leaf-blight-292.JPG,northern-leaf-blight
3260,rust-599.JPG,rust
238,northern-leaf-blight-237.JPG,northern-leaf-blight
60,northern-leaf-blight-59.JPG,northern-leaf-blight
335,northern-leaf-blight-334.JPG,northern-leaf-blight
1069,healthy-83.jpg,healthy
2194,grey-leaf-spot-46.JPG,grey-leaf-spot
2531,grey-leaf-spot-383.JPG,grey-leaf-spot
2513,grey-leaf-spot-365.JPG,grey-leaf-spot
2490,grey-leaf-spot-342.JPG,grey-leaf-spot
61,northern-leaf-blight-60.jpg,northern-leaf-blight
159,northern-leaf-blight-158.JPG,northern-leaf-blight
64,northern-leaf-blight-63.JPG,northern-leaf-blight
2539,grey-leaf-spot-391.JPG,grey-leaf-spot
2892,rust-231.JPG,rust
3711,rust-1050.JPG,rust
1547,healthy-561.jpg,healthy
2010,healthy-1024.jpg,healthy
534,northern-leaf-blight-533.JPG,northern-leaf-blight
3830,rust-1169.JPG,rust
3669,rust-1008.JPG,rust
1072,healthy-86.jpg,healthy
1196,healthy-210.jpg,healthy
3037,rust-376.JPG,rust
3414,rust-753.JPG,rust
2859,rust-198.JPG,rust
2692,rust-31.JPG,rust
589,northern-leaf-blight-588.JPG,northern-leaf-blight
2870,rust-209.JPG,rust
815,northern-leaf-blight-814.JPG,northern-leaf-blight
2288,grey-leaf-spot-140.JPG,grey-leaf-spot
669,northern-leaf-blight-668.JPG,northern-leaf-blight
219,northern-leaf-blight-218.JPG,northern-leaf-blight
854,northern-leaf-blight-853.JPG,northern-leaf-blight
1738,healthy-752.jpg,healthy
1345,healthy-359.jpg,healthy
3318,rust-657.JPG,rust
1353,healthy-367.jpg,healthy
1564,healthy-578.jpg,healthy
2398,grey-leaf-spot-250.JPG,grey-leaf-spot
2590,grey-leaf-spot-442.JPG,grey-leaf-spot
97,northern-leaf-blight-96.JPG,northern-leaf-blight
352,northern-leaf-blight-351.JPG,northern-leaf-blight
2957,rust-296.JPG,rust
523,northern-leaf-blight-522.JPG,northern-leaf-blight
2163,grey-leaf-spot-15.JPG,grey-leaf-spot
2671,rust-10.JPG,rust
1540,healthy-554.jpg,healthy
1226,healthy-240.jpg,healthy
1776,healthy-790.jpg,healthy
1125,healthy-139.jpg,healthy
45,northern-leaf-blight-44.jpg,northern-leaf-blight
3844,rust-1183.JPG,rust
1035,healthy-49.jpg,healthy
1870,healthy-884.jpg,healthy
2582,grey-leaf-spot-434.JPG,grey-leaf-spot
299,northern-leaf-blight-298.JPG,northern-leaf-blight
1409,healthy-423.jpg,healthy
3714,rust-1053.JPG,rust
2879,rust-218.JPG,rust
1305,healthy-319.jpg,healthy
517,northern-leaf-blight-516.JPG,northern-leaf-blight
3263,rust-602.JPG,rust
1114,healthy-128.jpg,healthy
2420,grey-leaf-spot-272.JPG,grey-leaf-spot
3122,rust-461.JPG,rust
1017,healthy-31.jpg,healthy
3329,rust-668.JPG,rust
2395,grey-leaf-spot-247.JPG,grey-leaf-spot
2020,healthy-1034.JPG,healthy
2302,grey-leaf-spot-154.JPG,grey-leaf-spot
2280,grey-leaf-spot-132.JPG,grey-leaf-spot
1904,healthy-918.jpg,healthy
300,northern-leaf-blight-299.JPG,northern-leaf-blight
2599,grey-leaf-spot-451.JPG,grey-leaf-spot
793,northern-leaf-blight-792.JPG,northern-leaf-blight
1994,healthy-1008.jpg,healthy
3024,rust-363.JPG,rust
2558,grey-leaf-spot-410.JPG,grey-leaf-spot
2869,rust-208.JPG,rust
732,northern-leaf-blight-731.JPG,northern-leaf-blight
2951,rust-290.JPG,rust
3583,rust-922.JPG,rust
2223,grey-leaf-spot-75.JPG,grey-leaf-spot
2414,grey-leaf-spot-266.JPG,grey-leaf-spot
3846,rust-1185.JPG,rust
3540,rust-879.JPG,rust
2480,grey-leaf-spot-332.JPG,grey-leaf-spot
3555,rust-894.JPG,rust
1929,healthy-943.jpg,healthy
2731,rust-70.JPG,rust
1956,healthy-970.jpg,healthy
1774,healthy-788.jpg,healthy
1367,healthy-381.jpg,healthy
200,northern-leaf-blight-199.JPG,northern-leaf-blight
307,northern-leaf-blight-306.JPG,northern-leaf-blight
1368,healthy-382.jpg,healthy
1841,healthy-855.jpg,healthy
2571,grey-leaf-spot-423.jpg,grey-leaf-spot
1630,healthy-644.jpg,healthy
3635,rust-974.JPG,rust
260,northern-leaf-blight-259.JPG,northern-leaf-blight
1615,healthy-629.JPG,healthy
1294,healthy-308.jpg,healthy
3032,rust-371.JPG,rust
661,northern-leaf-blight-660.JPG,northern-leaf-blight
3379,rust-718.JPG,rust
3742,rust-1081.JPG,rust
2612,grey-leaf-spot-464.JPG,grey-leaf-spot
3139,rust-478.JPG,rust
2488,grey-leaf-spot-340.JPG,grey-leaf-spot
718,northern-leaf-blight-717.JPG,northern-leaf-blight
3746,rust-1085.JPG,rust
3023,rust-362.JPG,rust
137,northern-leaf-blight-136.JPG,northern-leaf-blight
2177,grey-leaf-spot-29.JPG,grey-leaf-spot
3528,rust-867.JPG,rust
2479,grey-leaf-spot-331.JPG,grey-leaf-spot
2816,rust-155.JPG,rust
2303,grey-leaf-spot-155.JPG,grey-leaf-spot
2633,grey-leaf-spot-485.JPG,grey-leaf-spot
1524,healthy-538.jpg,healthy
2627,grey-leaf-spot-479.jpg,grey-leaf-spot
2151,grey-leaf-spot-3.JPG,grey-leaf-spot
121,northern-leaf-blight-120.JPG,northern-leaf-blight
3096,rust-435.JPG,rust
581,northern-leaf-blight-580.JPG,northern-leaf-blight
3481,rust-820.JPG,rust
2568,grey-leaf-spot-420.JPG,grey-leaf-spot
1126,healthy-140.jpg,healthy
617,northern-leaf-blight-616.JPG,northern-leaf-blight
921,northern-leaf-blight-920.jpg,northern-leaf-blight
2234,grey-leaf-spot-86.JPG,grey-leaf-spot
520,northern-leaf-blight-519.JPG,northern-leaf-blight
494,northern-leaf-blight-493.JPG,northern-leaf-blight
343,northern-leaf-blight-342.JPG,northern-leaf-blight
2936,rust-275.JPG,rust
1194,healthy-208.jpg,healthy
2551,grey-leaf-spot-403.JPG,grey-leaf-spot
2824,rust-163.JPG,rust
334,northern-leaf-blight-333.JPG,northern-leaf-blight
713,northern-leaf-blight-712.JPG,northern-leaf-blight
827,northern-leaf-blight-826.jpg,northern-leaf-blight
605,northern-leaf-blight-604.JPG,northern-leaf-blight
77,northern-leaf-blight-76.JPG,northern-leaf-blight
2465,grey-leaf-spot-317.JPG,grey-leaf-spot
