id,Image,Category
833,northern-leaf-blight-832.JPG,northern-leaf-blight
3604,rust-943.JPG,rust
299,northern-leaf-blight-298.JPG,northern-leaf-blight
2320,grey-leaf-spot-172.jpg,grey-leaf-spot
2221,grey-leaf-spot-73.JPG,grey-leaf-spot
2434,grey-leaf-spot-286.JPG,grey-leaf-spot
45,northern-leaf-blight-44.jpg,northern-leaf-blight
2359,grey-leaf-spot-211.JPG,grey-leaf-spot
1467,healthy-481.jpg,healthy
71,northern-leaf-blight-70.JPG,northern-leaf-blight
2332,grey-leaf-spot-184.JPG,grey-leaf-spot
1680,healthy-694.jpg,healthy
837,northern-leaf-blight-836.jpg,northern-leaf-blight
3377,rust-716.JPG,rust
1771,healthy-785.jpg,healthy
2258,grey-leaf-spot-110.JPG,grey-leaf-spot
382,northern-leaf-blight-381.JPG,northern-leaf-blight
1185,healthy-199.jpg,healthy
3259,rust-598.JPG,rust
2398,grey-leaf-spot-250.JPG,grey-leaf-spot
635,northern-leaf-blight-634.JPG,northern-leaf-blight
2712,rust-51.JPG,rust
1338,healthy-352.jpg,healthy
3800,rust-1139.JPG,rust
2819,rust-158.JPG,rust
671,northern-leaf-blight-670.jpg,northern-leaf-blight
3337,rust-676.JPG,rust
3838,rust-1177.JPG,rust
1229,healthy-243.jpg,healthy
1160,healthy-174.jpg,healthy
827,northern-leaf-blight-826.jpg,northern-leaf-blight
360,northern-leaf-blight-359.JPG,northern-leaf-blight
3599,rust-938.JPG,rust
307,northern-leaf-blight-306.JPG,northern-leaf-blight
619,northern-leaf-blight-618.JPG,northern-leaf-blight
2217,grey-leaf-spot-69.JPG,grey-leaf-spot
2385,grey-leaf-spot-237.JPG,grey-leaf-spot
2599,grey-leaf-spot-451.JPG,grey-leaf-spot
200,northern-leaf-blight-199.JPG,northern-leaf-blight
3716,rust-1055.JPG,rust
854,northern-leaf-blight-853.JPG,northern-leaf-blight
1699,healthy-713.jpg,healthy
3583,rust-922.JPG,rust
111,northern-leaf-blight-110.JPG,northern-leaf-blight
2104,healthy-1118.jpg,healthy
2817,rust-156.JPG,rust
617,northern-leaf-blight-616.JPG,northern-leaf-blight
3481,rust-820.JPG,rust
1341,healthy-355.jpg,healthy
3660,rust-999.JPG,rust
2542,grey-leaf-spot-394.JPG,grey-leaf-spot
1615,healthy-629.JPG,healthy
2731,rust-70.JPG,rust
2479,grey-leaf-spot-331.JPG,grey-leaf-spot
1547,healthy-561.jpg,healthy
409,northern-leaf-blight-408.JPG,northern-leaf-blight
732,northern-leaf-blight-731.JPG,northern-leaf-blight
2597,grey-leaf-spot-449.jpg,grey-leaf-spot
3584,rust-923.JPG,rust
2274,grey-leaf-spot-126.JPG,grey-leaf-spot
352,northern-leaf-blight-351.JPG,northern-leaf-blight
3818,rust-1157.JPG,rust
2204,grey-leaf-spot-56.JPG,grey-leaf-spot
2650,grey-leaf-spot-502.JPG,grey-leaf-spot
140,northern-leaf-blight-139.JPG,northern-leaf-blight
2029,healthy-1043.jpg,healthy
2472,grey-leaf-spot-324.JPG,grey-leaf-spot
137,northern-leaf-blight-136.JPG,northern-leaf-blight
210,northern-leaf-blight-209.JPG,northern-leaf-blight
