Model,Accuracy,Precision,Recall,F1
GPT-4o-Resolution-256,0.5687,0.5616,0.5688,0.5031
Phase-1-Resolution-256,0.9125,0.9165,0.9125,0.9123
Phase-2-Resolution-256,0.9313,0.9357,0.9312,0.9317
GPT-4o-Resolution-256,0.5687,0.5616,0.5688,0.5031
Phase-1-Resolution-256,0.9125,0.9165,0.9125,0.9123
Phase-2-Resolution-256,0.9313,0.9357,0.9312,0.9317
Phase-3-Resolution-256,0.9563,0.9559,0.9562,0.956
GPT-4o-Resolution-256,0.5687,0.5616,0.5688,0.5031
Phase-1-Resolution-256,0.9125,0.9165,0.9125,0.9123
Phase-2-Resolution-256,0.9313,0.9357,0.9312,0.9317
Phase-3-Resolution-256,0.9563,0.9559,0.9562,0.956
Phase-4-Resolution-256,0.9313,0.9361,0.9312,0.9307
GPT-4o-Resolution-150,0.5188,0.4944,0.5188,0.4508
Phase-1-Resolution-150,0.8625,0.8698,0.8625,0.8617
Phase-2-Resolution-150,0.9375,0.9372,0.9375,0.9368
Phase-3-Resolution-150,0.9062,0.9207,0.9062,0.9045
Phase-4-Resolution-150,0.9437,0.9473,0.9437,0.9426
GPT-4o-Resolution-100,0.4688,0.4385,0.4688,0.3874
Phase-1-Resolution-100,0.8438,0.8479,0.8438,0.8411
Phase-2-Resolution-100,0.7812,0.8471,0.7812,0.772
Phase-3-Resolution-100,0.8812,0.8949,0.8812,0.881
Phase-4-Resolution-100,0.8812,0.8836,0.8812,0.8818
GPT-4o-mini-Resolution-256,0.5188,0.5007,0.5188,0.4595
GPT-4o-mini-Resolution-150,0.4813,0.4697,0.4813,0.4032
GPT-4o-mini-Resolution-100,0.4313,0.3782,0.4313,0.3217
GPT-4o-Resolution-256,0.6875,0.6646,0.6875,0.6457
GPT-4o-mini-Resolution-256,0.6375,0.5828,0.6375,0.5955
Phase-1-Resolution-256,0.85,0.86,0.85,0.8418
Phase-2-Resolution-256,0.8875,0.9014,0.8875,0.8868
Phase-3-Resolution-256,0.9187,0.927,0.9187,0.9178
Phase-4-Resolution-256,0.925,0.93,0.925,0.9243
GPT-4o-Resolution-150,0.6937,0.7062,0.6937,0.6461
GPT-4o-mini-Resolution-150,0.6687,0.6141,0.6687,0.6054
Phase-1-Resolution-150,0.8688,0.8797,0.8688,0.8627
Phase-2-Resolution-150,0.8938,0.898,0.8938,0.8919
Phase-3-Resolution-150,0.9062,0.909,0.9062,0.905
Phase-4-Resolution-150,0.9062,0.9083,0.9062,0.9058
GPT-4o-Resolution-100,0.6375,0.6359,0.6375,0.5933
GPT-4o-mini-Resolution-100,0.6188,0.6147,0.6188,0.5852
Phase-1-Resolution-100,0.8562,0.8593,0.8562,0.8554
Phase-2-Resolution-100,0.8375,0.8448,0.8375,0.8394
Phase-3-Resolution-100,0.8688,0.8739,0.8688,0.8705
Phase-4-Resolution-100,0.8812,0.8841,0.8812,0.88
Best-Apple-Trained-Model-Predictions-on-Corns-256,0.625,0.6781,0.625,0.5712
Best-Apple-Trained-Model-Predictions-on-Corns-150,0.5687,0.5684,0.5687,0.5102
Best-Apple-Trained-Model-Predictions-on-Corns-100,0.6062,0.548,0.6062,0.5433
Best-Corn-Trained-Model-Predictions-on-Apples-256,0.6687,0.6431,0.6687,0.6415
Best-Corn-Trained-Model-Predictions-on-Apples-150,0.4938,0.6016,0.4938,0.4163
Best-Corn-Trained-Model-Predictions-on-Apples-100,0.55,0.512,0.55,0.4994
Apple-High-to-Low-Res-Trained-256-Prediction-100,0.725,0.7694,0.725,0.717
Apple-Low-to-High-Res-Trained-100-Prediction-256,0.8625,0.9113,0.8625,0.8513
Corn-High-to-Low-Res-Trained-256-Prediction-100,0.85,0.8545,0.85,0.847
Corn-Low-to-High-Res-Trained-100-Prediction-256,0.925,0.9288,0.925,0.9246
ResNet50-Predictions-256-Bayesian-Optimization,0.9688,0.971,0.9688,0.969
GPT-Resolution-256,0.9812,0.982,0.9812,0.9811
ResNet50-Predictions-Bayesian-Optimization,0.925,0.9308,0.925,0.9251
GPT-Resolution-150,0.9563,0.9568,0.9562,0.9562
ResNet50-Predictions-Bayesian-Optimization,0.85,0.8576,0.85,0.8488
GPT-Resolution-100,0.9563,0.9596,0.9562,0.9564
GPT-Resolution-256,0.9187,0.9227,0.9188,0.9189
ResNet50-Predictions-256-Bayesian-Optimization,0.9688,0.971,0.9688,0.969
ResNet50-Predictions-Bayesian-Optimization,0.925,0.9308,0.925,0.9251
ResNet50-Predictions-256-Bayesian-Optimization,0.875,0.8778,0.875,0.8752
ResNet50-Predictions-Bayesian-Optimization,0.8,0.8101,0.8,0.7959
ResNet50-Predictions-Bayesian-Optimization,0.8063,0.8042,0.8062,0.8038
GPT-Resolution-150,0.8812,0.8861,0.8812,0.8782
GPT-Resolution-100,0.9313,0.932,0.9312,0.9305
