id,Image,Category
1139,https://applied-ai.gr/projects/agriculture/Apple/256/healthy/healthy-1138.JPG,healthy
2242,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-321.JPG,black-rot
1687,https://applied-ai.gr/projects/agriculture/Apple/256/rust/rust-41.JPG,rust
2998,https://applied-ai.gr/projects/agriculture/Apple/256/scab/scab-456.JPG,scab
1867,https://applied-ai.gr/projects/agriculture/Apple/256/rust/rust-221.JPG,rust
2177,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-256.JPG,black-rot
2500,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-579.JPG,black-rot
2053,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-132.JPG,black-rot
2201,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-280.JPG,black-rot
372,https://applied-ai.gr/projects/agriculture/Apple/256/healthy/healthy-371.JPG,healthy
2031,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-110.JPG,black-rot
2261,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-340.JPG,black-rot
1721,https://applied-ai.gr/projects/agriculture/Apple/256/rust/rust-75.JPG,rust
2109,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-188.JPG,black-rot
1976,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-55.JPG,black-rot
2505,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-584.JPG,black-rot
2838,https://applied-ai.gr/projects/agriculture/Apple/256/scab/scab-296.JPG,scab
586,https://applied-ai.gr/projects/agriculture/Apple/256/healthy/healthy-585.JPG,healthy
1441,https://applied-ai.gr/projects/agriculture/Apple/256/healthy/healthy-1440.JPG,healthy
3125,https://applied-ai.gr/projects/agriculture/Apple/256/scab/scab-583.JPG,scab
1943,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-22.JPG,black-rot
862,https://applied-ai.gr/projects/agriculture/Apple/256/healthy/healthy-861.JPG,healthy
1897,https://applied-ai.gr/projects/agriculture/Apple/256/rust/rust-251.JPG,rust
655,https://applied-ai.gr/projects/agriculture/Apple/256/healthy/healthy-654.JPG,healthy
484,https://applied-ai.gr/projects/agriculture/Apple/256/healthy/healthy-483.JPG,healthy
2290,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-369.JPG,black-rot
2726,https://applied-ai.gr/projects/agriculture/Apple/256/scab/scab-184.JPG,scab
1872,https://applied-ai.gr/projects/agriculture/Apple/256/rust/rust-226.JPG,rust
1676,https://applied-ai.gr/projects/agriculture/Apple/256/rust/rust-30.JPG,rust
2105,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-184.JPG,black-rot
2501,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-580.JPG,black-rot
2753,https://applied-ai.gr/projects/agriculture/Apple/256/scab/scab-211.JPG,scab
1730,https://applied-ai.gr/projects/agriculture/Apple/256/rust/rust-84.JPG,rust
804,https://applied-ai.gr/projects/agriculture/Apple/256/healthy/healthy-803.JPG,healthy
856,https://applied-ai.gr/projects/agriculture/Apple/256/healthy/healthy-855.JPG,healthy
2180,https://applied-ai.gr/projects/agriculture/Apple/256/black-rot/black-rot-259.JPG,black-rot
1819,https://applied-ai.gr/projects/agriculture/Apple/256/rust/rust-173.JPG,rust
